id,match_kind,date_time,first_team,second_team,first_team_score,second_team_score,first_team_posession,second_team_possession
groupaqatarecuador,Group A,19 : 00  -  20 NOV 2022,QATAR,ECUADOR,0,2,42%,50%
groupbenglandiran,Group B,16 : 00  -  21 NOV 2022,ENGLAND,IRAN,6,2,72%,19%
groupasenegalnetherlands,Group A,19 : 00  -  21 NOV 2022,SENEGAL,NETHERLANDS,0,2,44%,45%
groupbunitedstateswales,Group B,22 : 00  -  21 NOV 2022,UNITED STATES,WALES,1,1,51%,39%
groupcargentinasaudiarabia,Group C,13 : 00  -  22 NOV 2022,ARGENTINA,SAUDI ARABIA,1,2,64%,24%
groupddenmarktunisia,Group D,16 : 00  -  22 NOV 2022,DENMARK,TUNISIA,0,0,55%,33%
groupcmexicopoland,Group C,19 : 00  -  22 NOV 2022,MEXICO,POLAND,0,0,54%,31%
groupdfranceaustralia,Group D,22 : 00  -  22 NOV 2022,FRANCE,AUSTRALIA,4,1,56%,35%
groupfmoroccocroatia,Group F,13 : 00  -  23 NOV 2022,MOROCCO,CROATIA,0,0,32%,57%
groupegermanyjapan,Group E,16 : 00  -  23 NOV 2022,GERMANY,JAPAN,1,2,65%,22%
groupespaincostarica,Group E,19 : 00  -  23 NOV 2022,SPAIN,COSTA RICA,7,0,74%,17%
groupfbelgiumcanada,Group F,22 : 00  -  23 NOV 2022,BELGIUM,CANADA,1,0,46%,43%
groupgswitzerlandcameroon,Group G,13 : 00  -  24 NOV 2022,SWITZERLAND,CAMEROON,1,0,43%,46%
grouphuruguaykorearepublic,Group H,16 : 00  -  24 NOV 2022,URUGUAY,KOREA REPUBLIC,0,0,49%,38%
grouphportugalghana,Group H,19 : 00  -  24 NOV 2022,PORTUGAL,GHANA,3,2,55%,35%
groupgbrazilserbia,Group G,22 : 00  -  24 NOV 2022,BRAZIL,SERBIA,2,0,53%,34%
groupbwalesiran,Group B,13 : 00  -  25 NOV 2022,WALES,IRAN,0,2,51%,33%
groupaqatarsenegal,Group A,16 : 00  -  25 NOV 2022,QATAR,SENEGAL,1,3,42%,48%
groupanetherlandsecuador,Group A,19 : 00  -  25 NOV 2022,NETHERLANDS,ECUADOR,1,1,48%,39%
groupbenglandunitedstates,Group B,22 : 00  -  25 NOV 2022,ENGLAND,UNITED STATES,0,0,51%,40%
groupdtunisiaaustralia,Group D,13 : 00  -  26 NOV 2022,TUNISIA,AUSTRALIA,0,1,50%,31%
groupcpolandsaudiarabia,Group C,16 : 00  -  26 NOV 2022,POLAND,SAUDI ARABIA,2,0,30%,57%
groupdfrancedenmark,Group D,19 : 00  -  26 NOV 2022,FRANCE,DENMARK,2,1,44%,44%
groupcargentinamexico,Group C,22 : 00  -  26 NOV 2022,ARGENTINA,MEXICO,2,0,50%,36%
groupejapancostarica,Group E,13 : 00  -  27 NOV 2022,JAPAN,COSTA RICA,0,1,48%,39%
groupfbelgiummorocco,Group F,16 : 00  -  27 NOV 2022,BELGIUM,MOROCCO,0,2,56%,32%
groupfcroatiacanada,Group F,19 : 00  -  27 NOV 2022,CROATIA,CANADA,4,1,41%,46%
groupespaingermany,Group E,22 : 00  -  27 NOV 2022,SPAIN,GERMANY,1,1,56%,33%
groupgcameroonserbia,Group G,13 : 00  -  28 NOV 2022,CAMEROON,SERBIA,3,3,38%,49%
grouphkorearepublicghana,Group H,16 : 00  -  28 NOV 2022,KOREA REPUBLIC,GHANA,2,3,53%,32%
groupgbrazilswitzerland,Group G,19 : 00  -  28 NOV 2022,BRAZIL,SWITZERLAND,1,0,51%,40%
grouphportugaluruguay,Group H,22 : 00  -  28 NOV 2022,PORTUGAL,URUGUAY,2,0,53%,35%
groupanetherlandsqatar,Group A,18 : 00  -  29 NOV 2022,NETHERLANDS,QATAR,2,0,54%,38%
groupaecuadorsenegal,Group A,18 : 00  -  29 NOV 2022,ECUADOR,SENEGAL,1,2,51%,32%
groupbwalesengland,Group B,22 : 00  -  29 NOV 2022,WALES,ENGLAND,0,3,33%,58%
groupbiranunitedstates,Group B,22 : 00  -  29 NOV 2022,IRAN,UNITED STATES,0,1,42%,45%
groupdaustraliadenmark,Group D,18 : 00  -  30 NOV 2022,AUSTRALIA,DENMARK,1,0,24%,60%
groupdtunisiafrance,Group D,18 : 00  -  30 NOV 2022,TUNISIA,FRANCE,1,0,30%,56%
groupcpolandargentina,Group C,22 : 00  -  30 NOV 2022,POLAND,ARGENTINA,0,2,24%,67%
groupcsaudiarabiamexico,Group C,22 : 00  -  30 NOV 2022,SAUDI ARABIA,MEXICO,1,2,29%,55%
groupfcroatiabelgium,Group F,18 : 00  -  01 DEC 2022,CROATIA,BELGIUM,0,0,43%,47%
groupfcanadamorocco,Group F,18 : 00  -  01 DEC 2022,CANADA,MOROCCO,1,2,52%,36%
groupejapanspain,Group E,22 : 00  -  01 DEC 2022,JAPAN,SPAIN,2,1,14%,78%
groupecostaricagermany,Group E,22 : 00  -  01 DEC 2022,COSTA RICA,GERMANY,2,4,27%,60%
grouphghanauruguay,Group H,18 : 00  -  02 DEC 2022,GHANA,URUGUAY,0,2,46%,39%
grouphkorearepublicportugal,Group H,18 : 00  -  02 DEC 2022,KOREA REPUBLIC,PORTUGAL,2,1,34%,55%
groupgserbiaswitzerland,Group G,22 : 00  -  02 DEC 2022,SERBIA,SWITZERLAND,2,3,45%,41%
groupgcameroonbrazil,Group G,22 : 00  -  02 DEC 2022,CAMEROON,BRAZIL,1,0,31%,56%
roundof16netherlandsunitedstates,Round of 16,18 : 00  -  03 DEC 2022,NETHERLANDS,UNITED STATES,3,1,33%,54%
roundof16argentinaaustralia,Round of 16,22 : 00  -  03 DEC 2022,ARGENTINA,AUSTRALIA,2,1,53%,35%
roundof16francepoland,Round of 16,18 : 00  -  04 DEC 2022,FRANCE,POLAND,3,1,48%,42%
roundof16englandsenegal,Round of 16,22 : 00  -  04 DEC 2022,ENGLAND,SENEGAL,3,0,54%,35%
roundof16japancroatia,Round of 16,18 : 00  -  05 DEC 2022,JAPAN,CROATIA,"(1)
1","1
(3)",35%,51%
roundof16brazilkorearepublic,Round of 16,22 : 00  -  05 DEC 2022,BRAZIL,KOREA REPUBLIC,4,1,47%,44%
roundof16moroccospain,Round of 16,18 : 00  -  06 DEC 2022,MOROCCO,SPAIN,"(3)
0","0
(0)",22%,68%
roundof16portugalswitzerland,Round of 16,22 : 00  -  06 DEC 2022,PORTUGAL,SWITZERLAND,6,1,43%,48%
quarterfinalcroatiabrazil,Quarter-final,18 : 00  -  09 DEC 2022,CROATIA,BRAZIL,"(4)
1","1
(2)",45%,45%
quarterfinalnetherlandsargentina,Quarter-final,22 : 00  -  09 DEC 2022,NETHERLANDS,ARGENTINA,"(3)
2","2
(4)",45%,44%
quarterfinalmoroccoportugal,Quarter-final,18 : 00  -  10 DEC 2022,MOROCCO,PORTUGAL,1,0,22%,65%
quarterfinalenglandfrance,Quarter-final,22 : 00  -  10 DEC 2022,ENGLAND,FRANCE,1,2,54%,36%
semifinalargentinacroatia,Semi-final,22 : 00  -  13 DEC 2022,ARGENTINA,CROATIA,3,0,34%,54%
semifinalfrancemorocco,Semi-final,22 : 00  -  14 DEC 2022,FRANCE,MOROCCO,2,0,34%,55%
playoffforthirdplacecroatiamorocco,Play-off for third place,18 : 00  -  17 DEC 2022,CROATIA,MOROCCO,2,1,45%,45%
finalargentinafrance,Final,18 : 00  -  18 DEC 2022,ARGENTINA,FRANCE,"(4)
3","3
(2)",46%,40%
