date,home_team,home_score,away_score,away_team
14-08-2022,Almeria,1,1,Real Madrid
22-08-2022,Elche,1,1,Almeria
27-08-2022,Almeria,2,2,Sevilla
05-09-2022,Valladolid,1,1,Almeria
12-09-2022,Almeria,0,0,Osasuna
17-09-2022,Mallorca,1,1,Almeria
30-09-2022,Ath Bilbao,4,4,Almeria
08-10-2022,Almeria,3,3,Vallecano
16-10-2022,Betis,3,3,Almeria
20-10-2022,Almeria,3,3,Girona
23-10-2022,Villarreal,2,2,Almeria
29-10-2022,Almeria,3,3,Celta
05-11-2022,Barcelona,2,2,Almeria
09-11-2022,Almeria,1,1,Getafe
30-12-2022,Cadiz,?,?,Almeria
15-08-2022,Ath Bilbao,0,0,Mallorca
21-08-2022,Ath Bilbao,1,1,Valencia
29-08-2022,Cadiz,0,0,Ath Bilbao
04-09-2022,Ath Bilbao,0,0,Espanol
11-09-2022,Elche,1,1,Ath Bilbao
17-09-2022,Ath Bilbao,3,3,Vallecano
30-09-2022,Ath Bilbao,4,4,Almeria
08-10-2022,Sevilla,1,1,Ath Bilbao
15-10-2022,Ath Bilbao,0,0,Ath Madrid
18-10-2022,Getafe,2,2,Ath Bilbao
23-10-2022,Barcelona,4,4,Ath Bilbao
30-10-2022,Ath Bilbao,1,1,Villarreal
04-11-2022,Girona,2,2,Ath Bilbao
08-11-2022,Ath Bilbao,3,3,Valladolid
29-12-2022,Betis,?,?,Ath Bilbao
15-08-2022,Getafe,0,0,Ath Madrid
21-08-2022,Ath Madrid,0,0,Villarreal
29-08-2022,Valencia,0,0,Ath Madrid
03-09-2022,Sociedad,1,1,Ath Madrid
10-09-2022,Ath Madrid,4,4,Celta
18-09-2022,Ath Madrid,1,1,Real Madrid
01-10-2022,Sevilla,0,0,Ath Madrid
08-10-2022,Ath Madrid,2,2,Girona
15-10-2022,Ath Bilbao,0,0,Ath Madrid
18-10-2022,Ath Madrid,1,1,Vallecano
23-10-2022,Betis,1,1,Ath Madrid
29-10-2022,Cadiz,3,3,Ath Madrid
